GeneID	padj	pvalue	lfcSE	stat	log2FoldChange	baseMean	Symbol	Description
90625	1.77e-34	1.02e-38	0.181	-13.0136946	-2.35512789	5368.66	ERVH48-1	endogenous retrovirus group 48 member 1, envelope
7044	1.04e-19	1.19e-23	0.2909	-10.0241362	-2.91647527	739	LEFTY2	left-right determination factor 2
10736	8.56e-05	1.98e-08	0.5245	-5.6141125	-2.94461235	77.15	SIX2	SIX homeobox 2
3248	8.56e-05	1.50e-08	0.5643	-5.6618012	-3.19516213	445.98	HPGD	15-hydroxyprostaglandin dehydrogenase
50861	4.10e-04	1.18e-07	0.1874	5.2960205	0.99260344	558.35	STMN3	stathmin 3
4739	4.63e-04	1.60e-07	0.195	-5.2404571	-1.02199283	340.83	NEDD9	neural precursor cell expressed, developmentally down-regulated 9
5308	6.65e-04	2.69e-07	1.1071	-5.1441854	-5.69501177	59.53	PITX2	paired like homeodomain 2
23504	7.40e-04	3.41e-07	0.3075	-5.0989984	-1.56805966	62.11	RIMBP2	RIMS binding protein 2
54899	8.05e-04	4.18e-07	0.2191	-5.0607152	-1.10858476	412.88	PXK	PX domain containing serine/threonine kinase like
100506178	8.10e-04	4.67e-07	0.5975	-5.0392468	-3.01070885	21.79	STEAP1B-AS1	STEAP1B antisense RNA 1
4900	1.41e-03	9.76e-07	0.3759	-4.8964044	-1.84072911	96.19	NRGN	neurogranin
23533	1.41e-03	9.65e-07	0.1917	-4.8987291	-0.93900793	417.54	PIK3R5	phosphoinositide-3-kinase regulatory subunit 5
100170841	1.49e-03	1.12e-06	0.2291	-4.8691779	-1.11559294	207.31	EPOP	elongin BC and polycomb repressive complex 2 associated protein
56033	3.09e-03	2.50e-06	0.3285	-4.7083342	-1.54671725	111.18	BARX1	BARX homeobox 1
84830	5.19e-03	4.49e-06	0.7816	-4.5871321	-3.58518855	26.92	ADTRP	androgen dependent TFPI regulating protein
3742	5.84e-03	5.39e-06	0.1906	-4.5488516	-0.86708306	180.86	KCNA6	potassium voltage-gated channel subfamily A member 6
57568	7.19e-03	7.05e-06	0.3354	-4.4922762	-1.50662507	996.25	SIPA1L2	signal induced proliferation associated 1 like 2
23314	7.87e-03	8.17e-06	0.3467	-4.4606784	-1.54659147	129.44	SATB2	SATB homeobox 2
100506013	9.30e-03	1.02e-05	0.4037	-4.4130799	-1.78166927	3275.43	APELA	apelin receptor early endogenous ligand
168850	9.63e-03	1.11e-05	0.1666	-4.3942664	-0.73189579	322.96	ZNF800	zinc finger protein 800
654790	1.16e-02	1.41e-05	0.4444	-4.3424012	-1.92975159	31.48	PCP4L1	Purkinje cell protein 4 like 1
5125	1.72e-02	2.19e-05	0.3828	-4.2447095	-1.62485249	630.64	PCSK5	proprotein convertase subtilisin/kexin type 5
5337	2.29e-02	3.04e-05	0.4277	-4.1701926	-1.78344787	315.38	PLD1	phospholipase D1
27286	3.46e-02	4.80e-05	0.8194	-4.0653435	-3.33116099	16.24	SRPX2	sushi repeat containing protein X-linked 2
93663	3.55e-02	5.12e-05	0.3511	-4.0498653	-1.42191422	360.54	ARHGAP18	Rho GTPase activating protein 18
23424	3.87e-02	5.80e-05	0.3653	-4.0209184	-1.46877818	112.11	TDRD7	tudor domain containing 7
101928243	4.65e-02	7.24e-05	0.305	3.9682041	1.21034429	46.44	DARS1-AS1	DARS1 antisense RNA 1
64866	4.91e-02	7.95e-05	0.1783	-3.9459765	-0.70341124	431.71	CDCP1	CUB domain containing protein 1
23268	4.91e-02	8.21e-05	0.1654	3.9380454	0.65125712	1486.58	DNMBP	dynamin binding protein
105377363	5.24e-02	9.07e-05	0.5188	-3.9143087	-2.03068886	20.13	LOC105377363	uncharacterized LOC105377363
4920	5.84e-02	1.05e-04	0.3584	-3.8789274	-1.39038858	253.66	ROR2	receptor tyrosine kinase like orphan receptor 2
51561	5.84e-02	1.08e-04	0.3189	-3.8723148	-1.23496687	57.03	IL23A	interleukin 23 subunit alpha
105377548	6.44e-02	1.23e-04	0.7801	-3.8407453	-2.99602072	60.4	LOC105377548	uncharacterized LOC105377548
4318	7.27e-02	1.46e-04	0.3021	-3.7976185	-1.14712662	224.45	MMP9	matrix metallopeptidase 9
56937	7.27e-02	1.47e-04	0.2489	-3.7965588	-0.94492997	608.09	PMEPA1	prostate transmembrane protein, androgen induced 1
26509	7.73e-02	1.61e-04	0.5194	-3.7741565	-1.96020232	452.27	MYOF	myoferlin
5813	7.75e-02	1.65e-04	0.5761	-3.7666956	-2.16991269	425.37	PURA	purine rich element binding protein A
10637	8.32e-02	1.82e-04	0.7769	-3.7422594	-2.90730101	1043.6	LEFTY1	left-right determination factor 1
64641	8.52e-02	1.92e-04	0.6772	-3.7296708	-2.52583797	25.74	EBF2	EBF transcription factor 2
11198	8.61e-02	1.99e-04	0.0798	3.7208394	0.29677721	8419.04	SUPT16H	SPT16 homolog, facilitates chromatin remodeling subunit
51337	8.63e-02	2.04e-04	0.2168	-3.7139638	-0.80501118	130.36	THEM6	thioesterase superfamily member 6
9060	8.74e-02	2.12e-04	0.1492	-3.704685	-0.55282546	1015.88	PAPSS2	3'-phosphoadenosine 5'-phosphosulfate synthase 2
10194	8.96e-02	2.22e-04	0.8219	-3.6923052	-3.03483827	65.27	TSHZ1	teashirt zinc finger homeobox 1
2081	9.48e-02	2.41e-04	0.2107	-3.6719646	-0.77380388	321.07	ERN1	endoplasmic reticulum to nucleus signaling 1
2494	9.59e-02	2.49e-04	0.8145	-3.6629762	-2.98359993	188.35	NR5A2	nuclear receptor subfamily 5 group A member 2
80139	9.59e-02	2.54e-04	0.8483	-3.6577709	-3.10304388	98.11	ZNF703	zinc finger protein 703
170958	1.04e-01	2.82e-04	0.147	-3.6317535	-0.53383378	1348.18	ZNF525	zinc finger protein 525
112268099	1.09e-01	3.03e-04	0.507	3.6129397	1.83174174	21.48	LOC112268099	
146429	1.12e-01	3.16e-04	0.2367	-3.6015279	-0.85234594	169.85	SLC22A31	solute carrier family 22 member 31
784	1.22e-01	3.51e-04	0.2102	-3.5742658	-0.75114752	373.7	CACNB3	calcium voltage-gated channel auxiliary subunit beta 3
9805	1.23e-01	3.68e-04	0.1365	-3.56215	-0.48615137	4394.19	SCRN1	secernin 1
201475	1.23e-01	3.61e-04	0.1694	3.5669766	0.60411986	1765.98	RAB12	RAB12, member RAS oncogene family
7035	1.41e-01	4.38e-04	0.6675	-3.5161028	-2.34688774	119.01	TFPI	tissue factor pathway inhibitor
116113	1.41e-01	4.36e-04	0.2084	-3.5169802	-0.73291186	565.76	FOXP4	forkhead box P4
652	1.47e-01	4.66e-04	0.8526	-3.4995445	-2.98359461	84.12	BMP4	bone morphogenetic protein 4
8148	1.49e-01	4.80e-04	0.1565	3.4917638	0.54639776	5798.61	TAF15	TATA-box binding protein associated factor 15
79012	1.62e-01	5.34e-04	0.1795	3.4630284	0.62147161	805.57	CAMKV	CaM kinase like vesicle associated
100499405	1.68e-01	5.60e-04	0.1781	3.4500434	0.61452841	414.91	LINC00987	long intergenic non-protein coding RNA 987
5774	1.69e-01	5.75e-04	0.2611	-3.4429377	-0.89896077	209.5	PTPN3	protein tyrosine phosphatase non-receptor type 3
23232	1.71e-01	5.91e-04	0.3742	-3.4357133	-1.28558269	199.7	TBC1D12	TBC1 domain family member 12
80021	1.78e-01	6.28e-04	1.0654	-3.4193996	-3.64312373	92.06	TMEM62	transmembrane protein 62
